Regiosoort,Regionaam,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020,07/03/2020,06/03/2020,05/03/2020,04/03/2020,03/03/2020,02/03/2020,01/03/2020
Gemeente,Leidschendam Voorburg,10,10,9,7,6,6,5,4,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0
Gemeente,Lelystad,21,19,15,15,13,12,10,8,7,5,3,1,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Leudal,23,22,20,16,13,11,8,7,6,6,4,4,3,2,1,0,0,0,0,0,0,0,0
Gemeente,Leusden,7,6,6,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Lingewaard,10,9,6,6,5,4,3,3,3,3,2,2,2,2,2,2,2,1,0,0,0,0,0
Gemeente,Lisse,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Lochem,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Loon op Zand,17,16,14,13,11,9,8,7,7,7,7,6,7,7,7,7,7,5,5,5,4,0,0
Gemeente,Lopik,9,6,4,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Loppersum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Losser,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Maasdriel,2,2,2,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Gemeente,Maasgouw,9,8,7,5,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Maassluis,6,5,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Maastricht,60,59,57,56,42,41,33,24,21,16,10,8,8,7,6,4,3,2,0,0,0,0,0
Gemeente,Medemblik,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Meerssen,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Meierijstad,127,119,95,81,72,60,49,42,34,30,25,18,13,11,10,4,1,0,0,0,0,0,0
Gemeente,Meppel,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Middelburg,6,5,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Midden Delfland,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Midden Drenthe,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Midden Groningen,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Mill en Sint Hubert,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Moerdijk,3,3,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Molenlanden,11,11,11,11,9,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Montferland,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Montfoort,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Mook en Middelaar,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Neder Betuwe,9,9,5,5,4,4,4,4,4,3,3,1,1,1,1,0,0,0,0,0,0,0,0
Gemeente,Nederweert,9,8,7,7,7,7,5,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Nieuwegein,11,9,9,8,6,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Nieuwkoop,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Nijkerk,7,4,4,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Nijmegen,79,68,60,55,48,41,31,17,12,9,8,6,4,3,3,2,2,1,0,0,0,0,0
Gemeente,Nissewaard,15,15,12,11,7,4,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Noardeast Fryslân,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Noord Beveland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Noordenveld,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Noordoostpolder,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Noordwijk,6,6,3,2,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Gemeente,Nuenen Gerwen en Nederwetten,4,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Gemeente,Nunspeet,17,13,9,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Oegstgeest,7,7,7,6,5,4,4,4,4,4,2,2,2,1,1,1,1,0,0,0,0,0,0
Gemeente,Oirschot,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Oisterwijk,16,16,15,12,10,10,10,9,6,6,6,5,4,3,3,3,3,1,0,0,0,0,0
Gemeente,Oldambt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Oldebroek,7,7,6,5,5,5,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Oldenzaal,6,6,6,5,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Olst Wijhe,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Ommen,6,4,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Oost Gelre,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Oosterhout,22,16,13,12,9,9,8,6,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Ooststellingwerf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Oostzaan,5,4,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Opmeer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Opsterland,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
Gemeente,Oss,65,59,44,35,26,20,14,11,5,4,3,3,2,1,1,1,1,1,1,1,1,0,0
Gemeente,Oude IJsselstreek,4,4,4,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Ouder Amstel,5,4,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Oudewater,4,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Overbetuwe,30,22,20,15,11,9,9,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Papendrecht,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Peel en Maas,69,64,63,49,41,36,31,19,14,10,8,4,3,1,0,0,0,0,0,0,0,0,0
Gemeente,Pekela,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Pijnacker Nootdorp,12,11,11,11,11,11,10,8,7,6,6,5,5,4,2,2,2,2,2,0,0,0,0
Gemeente,Purmerend,22,20,14,11,7,4,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Putten,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Raalte,5,5,3,3,3,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Reimerswaal,5,5,5,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Renkum,10,10,9,9,8,8,8,8,8,7,7,7,7,5,5,5,1,1,0,0,0,0,0
Gemeente,Renswoude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Reusel de Mierden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Rheden,12,10,7,7,4,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Gemeente,Rhenen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Ridderkerk,5,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Gemeente,Rijssen Holten,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Rijswijk,7,5,4,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Roerdalen,7,6,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Roermond,23,21,18,15,13,6,4,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0
Gemeente,Roosendaal,16,11,8,8,7,6,6,6,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Rotterdam,149,139,120,104,81,58,41,30,25,24,20,15,15,15,14,14,11,9,5,3,1,0,0
Gemeente,Rozendaal,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Rucphen,6,6,6,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Schagen,7,7,7,6,6,5,4,4,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0
Gemeente,Scherpenzeel,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Schiedam,8,8,6,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Schiermonnikoog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Schouwen Duiveland,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0
Gemeente,Simpelveld,5,5,5,5,5,5,4,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0
